Date,Close,High,Low,Open,Volume
11/12/2020,1872.599976,1878.5,1866.599976,1869,220
11/13/2020,1885.699951,1890.099976,1876.800049,1877,240
11/16/2020,1887.300049,1887.300049,1871,1874.599976,6
11/17/2020,1884.5,1888.400024,1884.5,1888.400024,59
11/18/2020,1873.5,1873.5,1873.5,1873.5,152
11/19/2020,1861.099976,1865.800049,1856,1865.800049,59
11/20/2020,1872.599976,1872.599976,1871.199951,1871.199951,1900
11/23/2020,1837.800049,1837.800049,1829.199951,1834.800049,843
11/24/2020,1804.800049,1829.300049,1799.300049,1829.300049,1041
11/25/2020,1805.699951,1805.699951,1801.400024,1801.400024,205754
11/27/2020,1781.900024,1817,1770.699951,1806.099976,71804
11/30/2020,1775.699951,1787.199951,1762.300049,1785,3145
12/1/2020,1814.099976,1815.900024,1774.900024,1775,1859
12/2/2020,1825.699951,1830,1807.800049,1811.300049,771
12/3/2020,1836.800049,1842,1825.300049,1829.199951,1765
12/4/2020,1835.900024,1847.599976,1828.199951,1840.699951,1213
12/7/2020,1861.800049,1866.900024,1820.800049,1836.5,1427
12/8/2020,1870.800049,1875.800049,1861.800049,1863,121
12/9/2020,1834.599976,1867.099976,1827,1867.099976,215
12/10/2020,1833.599976,1849.099976,1828,1833.199951,177
12/11/2020,1839.800049,1846,1829.099976,1838.5,109
12/14/2020,1828.699951,1835.699951,1822.699951,1835.5,258
12/15/2020,1852.300049,1853.599976,1833.199951,1833.5,961
12/16/2020,1856.099976,1864.699951,1850.5,1856.5,1090
12/17/2020,1887.199951,1896.199951,1874.199951,1874.199951,414
12/18/2020,1885.699951,1889.5,1882.300049,1882.400024,276
12/21/2020,1879.199951,1908,1869.099976,1884.800049,136
12/22/2020,1866.599976,1882.199951,1861,1882.199951,233
12/23/2020,1874.699951,1878.800049,1864.5,1867,82
12/24/2020,1879.900024,1879.900024,1875.699951,1877.300049,46
12/28/2020,1877.199951,1895.800049,1873.699951,1895.5,75
12/29/2020,1879.699951,1881.300049,1879.699951,1881.300049,343
12/30/2020,1891,1895.800049,1877.300049,1879.900024,444
12/31/2020,1893.099976,1901.300049,1892.699951,1897,127
1/4/2021,1944.699951,1945.099976,1912.199951,1912.199951,154
1/5/2021,1952.699951,1952.699951,1941.300049,1941.699951,113
1/6/2021,1906.900024,1959.900024,1901.5,1952,331
1/7/2021,1912.300049,1926.699951,1912,1922.599976,122
1/8/2021,1834.099976,1908,1834.099976,1908,60
1/11/2021,1849.599976,1849.599976,1826.5,1826.5,20
1/12/2021,1842.900024,1859.699951,1839.400024,1849,176
1/13/2021,1853.599976,1858.599976,1853.599976,1858,189
1/14/2021,1850.300049,1850.699951,1836.699951,1836.699951,149
1/15/2021,1829.300049,1829.400024,1825,1829.400024,31
1/19/2021,1839.5,1842.900024,1802,1802,13
1/20/2021,1865.900024,1866.599976,1844.400024,1847.800049,16
1/21/2021,1865.300049,1868,1865.300049,1865.300049,6
1/22/2021,1855.699951,1855.699951,1852.699951,1854.900024,8
1/25/2021,1854.900024,1864.699951,1851.800049,1864.699951,26
1/26/2021,1850.699951,1855.800049,1850.699951,1855.800049,59
1/27/2021,1844.900024,1844.900024,1844.900024,1844.900024,195540
1/28/2021,1837.900024,1862.900024,1831.5,1843.400024,27283
1/29/2021,1847.300049,1876,1838.699951,1842,1634
2/1/2021,1860.800049,1871.900024,1850,1866.599976,1494
2/2/2021,1830.5,1861.300049,1827.599976,1859.599976,1293
2/3/2021,1832.199951,1842.400024,1829.800049,1834.800049,1195
2/4/2021,1788.900024,1832.199951,1782.800049,1832.199951,2375
2/5/2021,1810.900024,1813.5,1790.900024,1794.300049,1278
2/8/2021,1831.900024,1836.699951,1809,1816.300049,254
2/9/2021,1835.300049,1843.300049,1830.699951,1841.900024,184
2/10/2021,1840.599976,1851.099976,1837,1842.599976,543
2/11/2021,1824.900024,1845,1820.900024,1840.5,602
2/12/2021,1821.599976,1827.5,1809.199951,1825,259
2/16/2021,1797.199951,1823.400024,1787.300049,1820.900024,1141
2/17/2021,1771.099976,1789.699951,1768.800049,1785.800049,614
2/18/2021,1773.400024,1784.599976,1766,1776.099976,587
2/19/2021,1775.800049,1787.599976,1764.300049,1764.300049,118
2/22/2021,1806.699951,1807.800049,1784,1784,165
2/23/2021,1804.400024,1811.300049,1796.400024,1809.599976,569
2/24/2021,1796.400024,1805.800049,1796.400024,1805.800049,1500
